SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,SHARED_TIME,TITLEI_STATUS,TITLEI_STATUS_TEXT,MAGNET_TEXT,NSLP_STATUS,NSLP_STATUS_TEXT,VIRTUAL,VIRTUAL_TEXT
2017-2018,6,CALIFORNIA,CA,Homan Elementary,1,,CA-1062166,614550,CA-1062166-6006290,61455001739,601739,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Jackson Elementary,1,,CA-1062166,614550,CA-1062166-6006308,61455001741,601741,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Jefferson Elementary,1,,CA-1062166,614550,CA-1062166-6006316,61455001742,601742,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,King Elementary,1,,CA-1062166,614550,CA-1062166-6088546,61455001743,601743,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Kings Canyon Middle,1,,CA-1062166,614550,CA-1062166-6057327,61455001744,601744,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Kirk Elementary,1,,CA-1062166,614550,CA-1062166-6006324,61455001745,601745,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Kratt Elementary,1,,CA-1062166,614550,CA-1062166-6006332,61455001746,601746,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lane Elementary,1,,CA-1062166,614550,CA-1062166-6006357,61455001747,601747,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lincoln Elementary,1,,CA-1062166,614550,CA-1062166-6006365,61455001748,601748,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lowell Elementary,1,,CA-1062166,614550,CA-1062166-6006373,61455001749,601749,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Malloch Elementary,1,,CA-1062166,614550,CA-1062166-6006381,61455001750,601750,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mayfair Elementary,1,,CA-1062166,614550,CA-1062166-6006407,61455001751,601751,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,McCardle Elementary,1,,CA-1062166,614550,CA-1062166-6085120,61455001752,601752,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,McLane High,1,,CA-1062166,614550,CA-1062166-1034214,61455001754,601754,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Muir Elementary,1,,CA-1062166,614550,CA-1062166-6006415,61455001755,601755,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Norseman Elementary,1,,CA-1062166,614550,CA-1062166-6006423,61455001756,601756,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Powers-Ginsburg Elementary,1,,CA-1062166,614550,CA-1062166-6006431,61455001758,601758,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Pyle Elementary,1,,CA-1062166,614550,CA-1062166-6006449,61455001759,601759,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Robinson Elementary,1,,CA-1062166,614550,CA-1062166-6006456,61455001760,601760,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Roeding Elementary,1,,CA-1062166,614550,CA-1062166-6006464,61455001761,601761,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Roosevelt High,1,,CA-1062166,614550,CA-1062166-1035831,61455001762,601762,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rowell Elementary,1,,CA-1062166,614550,CA-1062166-6006472,61455001763,601763,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Scandinavian Middle,1,,CA-1062166,614550,CA-1062166-6006480,61455001764,601764,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sequoia Middle,1,,CA-1062166,614550,CA-1062166-6057335,61455001765,601765,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Slater Elementary,1,,CA-1062166,614550,CA-1062166-6085138,61455001767,601767,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Starr Elementary,1,,CA-1062166,614550,CA-1062166-6088934,61455001768,601768,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sunset Elementary,1,,CA-1062166,614550,CA-1062166-6088942,61455001769,601769,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Tehipite Middle,1,,CA-1062166,614550,CA-1062166-6088538,61455001770,601770,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Tenaya Middle,1,,CA-1062166,614550,CA-1062166-6057343,61455001771,601771,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Thomas Elementary,1,,CA-1062166,614550,CA-1062166-6006514,61455001772,601772,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Tioga Middle,1,,CA-1062166,614550,CA-1062166-6061196,61455001773,601773,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Turner Elementary,1,,CA-1062166,614550,CA-1062166-6006522,61455001774,601774,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Viking Elementary,1,,CA-1062166,614550,CA-1062166-6006530,61455001775,601775,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Vinland Elementary,1,,CA-1062166,614550,CA-1062166-6006548,61455001776,601776,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Webster Elementary,1,,CA-1062166,614550,CA-1062166-6006555,61455001778,601778,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Wilson Elementary,1,,CA-1062166,614550,CA-1062166-6006563,61455001779,601779,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Winchell Elementary,1,,CA-1062166,614550,CA-1062166-6006571,61455001780,601780,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Wishon Elementary,1,,CA-1062166,614550,CA-1062166-6006589,61455001781,601781,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Wolters Elementary,1,,CA-1062166,614550,CA-1062166-6006597,61455001782,601782,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Yosemite Middle,1,,CA-1062166,614550,CA-1062166-6061204,61455001783,601783,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Cambridge Continuation High,1,,CA-1062166,614550,CA-1062166-1030584,61455001986,601986,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Susan B. Anthony Elementary,1,,CA-1062166,614550,CA-1062166-6111231,61455003007,603007,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Edith B. Storey Elementary,1,,CA-1062166,614550,CA-1062166-6111249,61455003010,603010,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ann B. Leavenworth,1,,CA-1062166,614550,CA-1062166-6111256,61455003019,603019,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Fulton Special Education,1,,CA-1062166,614550,CA-1062166-6112619,61455003024,603024,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Elizabeth Terronez Middle,1,,CA-1062166,614550,CA-1062166-6112882,61455004484,604484,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,J. E. Young Academic Center,1,,CA-1062166,614550,CA-1062166-1030287,61455005749,605749,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ayer Elementary,1,,CA-1062166,614550,CA-1062166-6101091,61455007285,607285,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Forkner Elementary,1,,CA-1062166,614550,CA-1062166-6101109,61455007286,607286,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,School of Unlimited Learning,1,,CA-1062166,614550,CA-1062166-1030642,61455007497,607497,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Lawless Elementary,1,,CA-1062166,614550,CA-1062166-6102016,61455007720,607720,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sunnyside High,1,,CA-1062166,614550,CA-1062166-1030675,61455007963,607963,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Florence E. Rata,1,,CA-1062166,614550,CA-1062166-1030717,61455007964,607964,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Irwin O. Addicott Elementary,1,,CA-1062166,614550,CA-1062166-6116651,61455007966,607966,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Bullard Talent Project,1,,CA-1062166,614550,CA-1062166-6006100,61455008141,608141,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,David L. Greenberg Elementary,1,,CA-1062166,614550,CA-1062166-6117477,61455008470,608470,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Carter G. Woodson Public Charter,1,,CA-1062166,614550,CA-1062166-1030840,61455008697,608697,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Erma Duncan Polytechnical High,1,,CA-1062166,614550,CA-1062166-1030295,61455008841,608841,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Figarden Elementary,1,,CA-1062166,614550,CA-1062166-6006233,61455008842,608842,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Manchester Gate,1,,CA-1062166,614550,CA-1062166-6103832,61455008843,608843,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Edison Computech,1,,CA-1062166,614550,CA-1062166-6103840,61455008844,608844,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Miguel Hidalgo Elementary,1,,CA-1062166,614550,CA-1062166-6105746,61455008845,608845,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ezekiel Balderas Elementary,1,,CA-1062166,614550,CA-1062166-6109961,61455010209,610209,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hamilton Elementary,1,,CA-1062166,614550,CA-1062166-6120125,61455010488,610488,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Phoenix Elementary Academy Community Day,1,,CA-1062166,614550,CA-1062166-6120703,61455010490,610490,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Aspen Valley Prep Academy,1,,CA-1062166,614550,CA-1062166-0106740,61455010775,610775,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Molly S. Bakman Elementary,1,,CA-1062166,614550,CA-1062166-0108100,61455010777,610777,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Akira Yokomi Elementary,1,,CA-1062166,614550,CA-1062166-0108118,61455010778,610778,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Design Science Middle College High,1,,CA-1062166,614550,CA-1062166-0108555,61455010779,610779,Missing,SWELIGSWPROG,Title I schoolwide school,Yes,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sierra Charter,1,,CA-1062166,614550,CA-1062166-0114355,61455011846,611846,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Deborah A. Williams Elementary,1,,CA-1062166,614550,CA-1062166-0113811,61455011895,611895,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,University High,1,,CA-1062166,614550,CA-1062166-0114553,61455011911,611911,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Mario G. Olmos Elementary,1,,CA-1062166,614550,CA-1062166-0113829,61455011998,611998,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Vang Pao Elementary,1,,CA-1062166,614550,CA-1062166-0119339,61455012411,612411,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Phoenix Secondary,1,,CA-1062166,614550,CA-1062166-0120964,61455012434,612434,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Morris E. Dailey Charter Elementary,1,,CA-1062166,614550,CA-1062166-0121533,61455012619,612619,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Fresno City and Fresno State Preschools,1,,CA-1062166,614550,CA-1062166-0119891,61455013479,613479,Missing,MISSING,Missing,Missing,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Kepler Neighborhood,1,,CA-1062166,614550,CA-1062166-0127514,61455013508,613508,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rutherford B. Gaston Sr. Middle,1,,CA-1062166,614550,CA-1062166-0129338,61455013767,613767,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Phillip J Patino School of Entrepreneurship,1,,CA-1062166,614550,CA-1062166-0132134,61455013893,613893,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPCEO,Yes under Community Eligibility Option (CEO),NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Aspen Meadow Public,1,,CA-1062166,614550,CA-1062166-0133942,61455014004,614004,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Wawona K-8,1,,CA-1062166,614550,CA-1062166-0136150,61455014077,614077,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Columbia Elementary,1,,CA-1563479,614700,CA-1563479-6112783,61470004514,604514,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Endeavour Elementary,1,,CA-1563479,614700,CA-1563479-6112791,61470004526,604526,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Quailwood Elementary,1,,CA-1563479,614700,CA-1563479-6101588,61470007722,607722,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Fruitvale Junior High,1,,CA-1563479,614700,CA-1563479-6104004,61470008142,608142,Missing,TGELGBNOPROG,Title I targeted assistance eligible school-No program,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Discovery Elementary,1,,CA-1563479,614700,CA-1563479-6109987,61470010222,610222,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Acacia Elementary,1,,CA-3066506,614730,CA-3066506-6028005,61473001790,601790,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Commonwealth Elementary,1,,CA-3066506,614730,CA-3066506-6028021,61473001791,601791,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Fern Drive Elementary,1,,CA-3066506,614730,CA-3066506-6028039,61473001792,601792,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Golden Hill Elementary,1,,CA-3066506,614730,CA-3066506-6028054,61473001793,601793,Missing,NOTTITLE1ELIG,Not a Title I school,Yes,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Hermosa Drive Elementary,1,,CA-3066506,614730,CA-3066506-6028062,61473001794,601794,Missing,NOTTITLE1ELIG,Not a Title I school,Yes,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Ladera Vista Junior High School of the Arts,1,,CA-3066506,614730,CA-3066506-6028070,61473001795,601795,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Laguna Road Elementary,1,,CA-3066506,614730,CA-3066506-6028088,61473001796,601796,Missing,NOTTITLE1ELIG,Not a Title I school,Yes,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Nicolas Junior High,1,,CA-3066506,614730,CA-3066506-6028104,61473001798,601798,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Orangethorpe Elementary,1,,CA-3066506,614730,CA-3066506-6028112,61473001799,601799,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Pacific Drive Elementary,1,,CA-3066506,614730,CA-3066506-6028120,61473001800,601800,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,D. Russell Parks Junior High,1,,CA-3066506,614730,CA-3066506-6085286,61473001801,601801,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Raymond Elementary,1,,CA-3066506,614730,CA-3066506-6028138,61473001802,601802,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Richman Elementary,1,,CA-3066506,614730,CA-3066506-6028146,61473001803,601803,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Rolling Hills Elementary,1,,CA-3066506,614730,CA-3066506-6028153,61473001804,601804,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Sunset Lane Elementary,1,,CA-3066506,614730,CA-3066506-6028161,61473001805,601805,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Valencia Park Elementary,1,,CA-3066506,614730,CA-3066506-6028179,61473001806,601806,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Woodcrest Elementary,1,,CA-3066506,614730,CA-3066506-6028195,61473001808,601808,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Maple Elementary,1,,CA-3066506,614730,CA-3066506-6113617,61473006099,606099,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Beechwood Elementary,1,,CA-3066506,614730,CA-3066506-6028013,61473008241,608241,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Robert C. Fisler Elementary,1,,CA-3066506,614730,CA-3066506-0102582,61473010985,610985,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
